id,tipo,fecha,IDdispositivo
1,D,2022-06-27T16:12:13.000Z,105
2,U,2022-06-27T16:12:19.000Z,105
3,D,2022-06-27T16:12:21.000Z,116
4,U,2022-06-27T16:12:28.000Z,105
5,D,2022-06-27T16:12:41.000Z,105
6,U,2022-06-27T16:12:43.000Z,105
7,D,2022-06-27T16:12:44.000Z,116
8,U,2022-06-27T16:12:45.000Z,105
9,D,2022-06-27T20:29:28.000Z,116
10,U,2022-06-27T20:29:28.000Z,116
11,D,2022-06-27T20:29:28.000Z,116
12,U,2022-06-27T20:29:28.000Z,116
13,D,2022-06-27T20:31:06.000Z,115
14,U,2022-06-27T20:31:06.000Z,115
15,D,2022-06-27T20:31:06.000Z,115
16,U,2022-06-27T20:31:06.000Z,115
17,D,2022-06-27T21:14:02.000Z,115
18,U,2022-06-27T21:14:02.000Z,115
19,D,2022-06-27T21:14:02.000Z,115
20,U,2022-06-27T21:14:02.000Z,115
21,S,2022-06-28T00:37:06.000Z,105
22,S,2022-06-28T00:37:06.000Z,105
23,S,2022-06-28T00:37:06.000Z,105
24,S,2022-06-28T00:37:06.000Z,105
25,S,2022-06-28T00:37:06.000Z,105
26,S,2022-06-28T00:37:07.000Z,105
27,S,2022-06-28T00:37:07.000Z,105
28,S,2022-06-28T00:37:07.000Z,105
29,S,2022-06-28T00:37:07.000Z,105
30,S,2022-06-28T00:37:07.000Z,105
31,S,2022-06-28T00:37:07.000Z,105
32,S,2022-06-28T00:37:07.000Z,105
33,S,2022-06-28T00:37:07.000Z,105
34,S,2022-06-28T00:37:07.000Z,105
35,S,2022-06-28T00:37:07.000Z,105
36,S,2022-06-28T00:37:07.000Z,105
37,S,2022-06-28T00:37:07.000Z,105
38,S,2022-06-28T00:37:07.000Z,105
39,S,2022-06-28T00:37:07.000Z,105
40,S,2022-06-28T00:37:07.000Z,105
41,S,2022-06-28T00:37:07.000Z,105
42,S,2022-06-28T00:37:07.000Z,105
43,S,2022-06-28T00:37:07.000Z,105
44,S,2022-06-28T00:37:07.000Z,105
45,S,2022-06-28T00:37:07.000Z,105
46,S,2022-06-28T00:37:07.000Z,105
47,S,2022-06-28T00:37:07.000Z,105
48,S,2022-06-28T00:37:07.000Z,105
49,S,2022-06-28T00:37:07.000Z,105
50,S,2022-06-28T00:37:07.000Z,105
51,S,2022-06-28T00:37:07.000Z,105
52,S,2022-06-28T00:37:07.000Z,105
53,S,2022-06-28T00:37:07.000Z,105
54,S,2022-06-28T00:37:07.000Z,105
55,S,2022-06-28T00:37:07.000Z,105
56,S,2022-06-28T00:37:07.000Z,105
57,S,2022-06-28T00:37:07.000Z,105
58,S,2022-06-28T00:37:07.000Z,105
59,S,2022-06-28T00:37:07.000Z,105
60,S,2022-06-28T00:37:07.000Z,105
61,S,2022-06-28T00:37:07.000Z,105
62,S,2022-06-28T00:37:07.000Z,105
63,S,2022-06-28T00:37:07.000Z,105
64,S,2022-06-28T00:37:07.000Z,105
65,S,2022-06-28T00:37:07.000Z,105
66,S,2022-06-28T00:37:07.000Z,105
67,S,2022-06-28T00:37:07.000Z,105
68,S,2022-06-28T00:37:07.000Z,105
69,S,2022-06-28T00:37:07.000Z,105
70,S,2022-06-28T00:37:07.000Z,105
71,S,2022-06-28T00:37:07.000Z,105
72,S,2022-06-28T00:37:07.000Z,105
73,S,2022-06-28T00:37:07.000Z,105
74,S,2022-06-28T00:37:07.000Z,105
75,S,2022-06-28T00:37:07.000Z,105
76,S,2022-06-28T00:37:07.000Z,105
77,S,2022-06-28T00:37:07.000Z,105
78,S,2022-06-28T00:37:07.000Z,105
79,S,2022-06-28T00:37:07.000Z,105
80,S,2022-06-29T15:05:36.000Z,105
81,S,2022-06-29T15:05:36.000Z,105
82,S,2022-06-29T15:05:36.000Z,105
83,S,2022-06-29T15:05:36.000Z,105
84,S,2022-06-29T15:05:36.000Z,105
85,S,2022-06-29T15:05:36.000Z,105
86,S,2022-06-29T15:05:36.000Z,105
87,S,2022-06-29T15:05:36.000Z,105
88,S,2022-06-29T15:05:36.000Z,105
89,S,2022-06-29T15:05:36.000Z,105
90,S,2022-06-29T15:05:36.000Z,105
91,S,2022-06-29T15:05:36.000Z,105
92,S,2022-06-29T15:05:36.000Z,105
93,S,2022-06-29T15:05:36.000Z,105
94,S,2022-06-29T15:05:36.000Z,105
95,S,2022-06-29T15:05:36.000Z,105
96,S,2022-06-29T15:05:36.000Z,105
97,S,2022-06-29T15:05:36.000Z,105
98,S,2022-06-29T15:05:36.000Z,105
99,S,2022-06-29T15:05:36.000Z,105
100,S,2022-06-29T15:05:36.000Z,105
101,S,2022-06-29T15:05:36.000Z,105
102,S,2022-06-29T15:05:36.000Z,105
103,S,2022-06-29T15:05:36.000Z,105
104,S,2022-06-29T15:05:36.000Z,105
105,S,2022-06-29T15:05:36.000Z,105
106,S,2022-06-29T15:05:36.000Z,105
107,S,2022-06-29T15:05:36.000Z,105
108,S,2022-06-29T15:05:36.000Z,105
109,S,2022-06-29T15:05:36.000Z,105
110,S,2022-06-29T15:05:36.000Z,105
111,S,2022-06-29T15:05:36.000Z,105
112,S,2022-06-29T15:05:36.000Z,105
113,S,2022-06-29T15:05:36.000Z,105
114,S,2022-06-29T15:05:36.000Z,105
115,S,2022-06-29T15:05:36.000Z,105
116,S,2022-06-29T15:05:36.000Z,105
117,S,2022-06-29T15:05:36.000Z,105
118,S,2022-06-29T15:05:36.000Z,105
119,S,2022-06-29T15:05:36.000Z,105
120,S,2022-06-29T15:05:36.000Z,105
121,S,2022-06-29T15:05:36.000Z,105
122,S,2022-06-29T15:05:36.000Z,105
123,S,2022-06-29T15:05:36.000Z,105
124,S,2022-06-29T15:05:36.000Z,105
125,S,2022-06-29T15:05:36.000Z,105
126,S,2022-06-29T15:05:36.000Z,105
127,S,2022-06-29T15:05:36.000Z,105
128,S,2022-06-29T15:05:36.000Z,105
129,S,2022-06-29T15:05:36.000Z,105
130,S,2022-06-29T15:05:36.000Z,105
131,S,2022-06-29T15:05:36.000Z,105
132,S,2022-06-29T15:05:36.000Z,105
133,S,2022-06-29T15:05:36.000Z,105
134,S,2022-06-29T15:05:36.000Z,105
135,S,2022-06-29T15:05:36.000Z,105
136,S,2022-06-29T15:05:36.000Z,105
137,S,2022-06-29T15:05:36.000Z,105
138,S,2022-06-29T15:05:36.000Z,105
139,S,2022-06-29T15:05:36.000Z,105
140,S,2022-06-29T15:05:36.000Z,105
141,S,2022-06-29T15:05:36.000Z,105
142,S,2022-06-29T15:11:49.000Z,105
143,S,2022-06-29T15:11:49.000Z,105
144,S,2022-06-29T15:11:49.000Z,105
145,S,2022-06-29T15:11:49.000Z,105
146,S,2022-06-29T15:11:49.000Z,105
147,S,2022-06-29T15:11:49.000Z,105
148,S,2022-06-29T15:11:49.000Z,105
149,S,2022-06-29T15:11:49.000Z,105
150,S,2022-06-29T15:11:49.000Z,105
151,S,2022-06-29T15:11:49.000Z,105
152,S,2022-06-29T15:11:49.000Z,105
153,S,2022-06-29T15:11:49.000Z,105
154,S,2022-06-29T15:11:49.000Z,105
155,S,2022-06-29T15:11:49.000Z,105
156,S,2022-06-29T15:11:49.000Z,105
157,S,2022-06-29T15:11:49.000Z,105
158,S,2022-06-29T15:11:49.000Z,105
159,S,2022-06-29T15:11:49.000Z,105
160,S,2022-06-29T15:11:49.000Z,105
161,S,2022-06-29T15:11:49.000Z,105
162,S,2022-06-29T15:11:49.000Z,105
163,S,2022-06-29T15:11:49.000Z,105
164,S,2022-06-29T15:11:49.000Z,105
165,S,2022-06-29T15:11:49.000Z,105
166,S,2022-06-29T15:11:49.000Z,105
167,S,2022-06-29T15:11:49.000Z,105
168,S,2022-06-29T15:11:49.000Z,105
169,S,2022-06-29T15:11:49.000Z,105
170,S,2022-06-29T15:11:49.000Z,105
171,S,2022-06-29T15:11:49.000Z,105
172,S,2022-06-29T15:11:49.000Z,105
173,S,2022-06-29T15:11:49.000Z,105
174,S,2022-06-29T15:11:49.000Z,105
175,S,2022-06-29T15:11:49.000Z,105
176,S,2022-06-29T15:11:49.000Z,105
177,S,2022-06-29T15:11:49.000Z,105
178,S,2022-06-29T15:11:49.000Z,105
179,S,2022-06-29T15:11:49.000Z,105
180,S,2022-06-29T15:11:49.000Z,105
181,S,2022-06-29T15:11:49.000Z,105
182,S,2022-06-29T15:11:49.000Z,105
183,S,2022-06-29T15:11:49.000Z,105
184,S,2022-06-29T15:11:49.000Z,105
185,S,2022-06-29T15:11:49.000Z,105
186,S,2022-06-29T15:11:49.000Z,105
187,S,2022-06-29T15:11:49.000Z,105
188,S,2022-06-29T15:11:49.000Z,105
189,S,2022-06-29T15:11:49.000Z,105
190,S,2022-06-29T15:11:49.000Z,105
191,S,2022-06-29T15:11:49.000Z,105
192,S,2022-06-29T15:11:49.000Z,105
193,S,2022-06-29T15:11:49.000Z,105
194,S,2022-06-29T15:11:49.000Z,105
195,S,2022-06-29T15:11:49.000Z,105
196,S,2022-06-29T15:11:49.000Z,105
197,S,2022-06-29T15:11:49.000Z,105
198,S,2022-06-29T15:11:49.000Z,105
199,S,2022-06-29T15:11:49.000Z,105
200,S,2022-06-29T15:11:49.000Z,105
201,S,2022-06-29T15:11:49.000Z,105
202,S,2022-06-29T15:11:49.000Z,105
203,S,2022-06-29T15:11:49.000Z,105
204,S,2022-06-29T15:12:47.000Z,105
205,S,2022-06-29T15:12:47.000Z,105
206,S,2022-06-29T15:12:47.000Z,105
207,S,2022-06-29T15:12:47.000Z,105
208,S,2022-06-29T15:12:47.000Z,105
209,S,2022-06-29T15:12:47.000Z,105
210,S,2022-06-29T15:12:47.000Z,105
211,S,2022-06-29T15:12:47.000Z,105
212,S,2022-06-29T15:12:47.000Z,105
213,S,2022-06-29T15:12:47.000Z,105
214,S,2022-06-29T15:12:47.000Z,105
215,S,2022-06-29T15:12:47.000Z,105
216,S,2022-06-29T15:12:47.000Z,105
217,S,2022-06-29T15:12:47.000Z,105
218,S,2022-06-29T15:12:47.000Z,105
219,S,2022-06-29T15:12:47.000Z,105
220,S,2022-06-29T15:12:47.000Z,105
221,S,2022-06-29T15:12:47.000Z,105
222,S,2022-06-29T15:12:47.000Z,105
223,S,2022-06-29T15:12:47.000Z,105
224,S,2022-06-29T15:12:47.000Z,105
